,Unnamed: 0,Title,Address,Longitude,Latitude,행정동,geometry,x,y
0,0,카페이숲,충남 천안시 서북구 성거읍 남창마을1길 32 1층,127.1954221,36.86218457,성거읍,POINT (972850.988752277 1873812.503410197),972850.988752277,1873812.503410197
1,1,블렌데렌,"충남 천안시 동남구 먹거리8길 5 1, 2층",127.19431,36.80488,신부동,POINT (972731.5274605945 1867455.990715825),972731.5274605945,1867455.990715825
2,2,그리고스페셜티,충남 천안시 동남구 유량로 104,127.1727543,36.80712793,원성1동,POINT (970809.5413484469 1867711.7166895212),970809.5413484469,1867711.7166895212
3,3,오월의숲,충남 천안시 서북구 세관길 78,127.1452078,36.82319513,성정2동,POINT (968358.9866906875 1869502.8197424544),968358.9866906875,1869502.8197424544
4,4,유얼스,충남 천안시 서북구 불당31길 37,127.1053551,36.81021545,불당2동,POINT (964798.8921061844 1868076.9081344209),964798.8921061844,1868076.9081344209
5,5,풍세커피,충남 천안시 동남구 풍세면 한우물2길 90 2동 1층,127.1064832,36.74087492,풍세면,POINT (964867.8870737354 1860384.562381759),964867.8870737354,1860384.562381759
6,6,교토리,충남 천안시 동남구 북면 위례성로 782,127.2714517,36.83180253,북면,POINT (979619.9518166382 1870423.2899334442),979619.9518166382,1870423.2899334442
7,7,피노카페,충남 천안시 동남구 풍세면 휴양림길 99-23,127.0925645,36.72902148,풍세면,POINT (963619.6647176059 1859074.866708052),963619.6647176059,1859074.866708052
8,8,마리스,충남 천안시 동남구 천호지길 11,127.1729573,36.83435246,신안동,POINT (970837.9803121027 1870731.6830188802),970837.9803121027,1870731.6830188802
9,9,마젠타,충남 천안시 서북구 성성2길 81 1동 2~4층,127.129597,36.84649299,부성2동,POINT (966976.7984331299 1872092.5510918086),966976.7984331299,1872092.5510918086
10,10,에이게이트,충남 천안시 동남구 목천읍 동리2길 183 1~4층,127.2392339,36.7886399,목천읍,POINT (976733.9726655147 1865642.612317092),976733.9726655147,1865642.612317092
