연    령,천 안 시
0세 - 0세,3291
1세 - 1세,3541
2세 - 2세,3934
3세 - 3세,4106
4세 - 4세,4391
5세 - 5세,4675
6세 - 6세,5321
7세 - 7세,5746
8세 - 8세,6500
9세 - 9세,6627
10세 - 10세,6573
11세 - 11세,6927
12세 - 12세,7154
13세 - 13세,6998
14세 - 14세,6656
15세 - 15세,6691
16세 - 16세,7095
17세 - 17세,6569
18세 - 18세,6374
19세 - 19세,6512
20세 - 20세,7044
21세 - 21세,7351
22세 - 22세,7965
23세 - 23세,9208
24세 - 24세,9324
25세 - 25세,9045
26세 - 26세,9216
27세 - 27세,9707
28세 - 28세,10011
29세 - 29세,10053
30세 - 30세,10241
31세 - 31세,10576
32세 - 32세,10219
33세 - 33세,9207
34세 - 34세,9210
35세 - 35세,9239
36세 - 36세,9411
37세 - 37세,9480
38세 - 38세,9717
39세 - 39세,9571
40세 - 40세,10205
41세 - 41세,11730
42세 - 42세,12039
43세 - 43세,12069
44세 - 44세,11852
45세 - 45세,10708
46세 - 46세,10516
47세 - 47세,10148
48세 - 48세,10485
49세 - 49세,10950
50세 - 50세,11683
51세 - 51세,11526
52세 - 52세,11428
53세 - 53세,11834
54세 - 54세,11188
55세 - 55세,11950
56세 - 56세,10403
57세 - 57세,10054
58세 - 58세,9353
59세 - 59세,10383
60세 - 60세,8270
61세 - 61세,9960
62세 - 62세,9020
63세 - 63세,10634
64세 - 64세,9312
65세 - 65세,7999
66세 - 66세,7067
67세 - 67세,6368
68세 - 68세,6100
69세 - 69세,6194
70세 - 70세,4529
71세 - 71세,4301
72세 - 72세,4493
73세 - 73세,3261
74세 - 74세,3708
75세 - 75세,3429
76세 - 76세,3272
77세 - 77세,3234
78세 - 78세,2058
79세 - 79세,2371
80세 - 80세,2336
81세 - 81세,2576
82세 - 82세,2462
83세 - 83세,1896
84세 - 84세,1819
85세 - 85세,1773
86세 - 86세,1487
87세 - 87세,1338
88세 - 88세,1161
89세 - 89세,954
90세 - 90세,758
91세 - 91세,612
92세 - 92세,461
93세 - 93세,302
94세 - 94세,233
95세 - 95세,200
96세 - 96세,156
97세 - 97세,82
98세 - 98세,49
99세 - 99세,28
100세 - 100세,27
101세 - 101세,21
102세 - 102세,8
103세 - 103세,9
104세 - 104세,6
105세 - 105세,3
106세 - 106세,1
107세 - 107세,1
108세 - 108세,1
