이름,주소,latitude,longitude,행정동
두정역,충청남도 천안시 서북구 두정로 289,36.833705,127.14896,부성1동
성환역,충청남도 천안시 서북구 성환읍 성환1로 237-5,36.916076,127.126964,성환읍
봉명역,충청남도 천안시 동남구 차돌로 51,36.801215,127.135763,봉명동
쌍용역,충청남도 천안시 서북구 쌍용19로 20,36.793759,127.1214,쌍용2동
직산역,충청남도 천안시 서북구 직산읍 천안대로 1471-33,36.870593,127.143904,직산읍
천안역,충청남도 천안시 동남구 대흥로 239,36.810005,127.146826,중앙동
천안신방(A-1)행복주택,충청남도 천안시 동남구 통정11로 80(신방동),36.7719099845066,127.13459769229,신방동
아산탕정 1-A1BL,"충청남도 천안시 서북구 불당24로 9(불당동,천안불당엘에이치1단지)",36.8233074168387,127.102767597978,불당2동
천안두정 A-1BL 행복주택,"충청남도 천안시 서북구 오성1길 12-10(두정동,천안두정엘에이치1단지)",36.8312798814248,127.129022989555,부성2동
천안두정2(노후청사),충청남도 천안시 서북구 봉정로 339(두정동),36.8324355465212,127.144906923526,부성1동
천안두정2(노후청사),충청남도 천안시 서북구 부성18로 71(부대동),36.8468583264745,127.153142908436,부성1동
천안역세권,충청남도 천안시 서북구 천안천4길 32(와촌동),36.809560162563,127.144178968144,성정1동
고신대학교,충청남도 천안시 동남구 충절로 535-31 (삼룡동),36.7772138178129,127.181382399891,청룡동
국립공주대학교,충청남도 천안시 서북구 천안대로 1223-24,36.8508404103786,127.151019558662,부성1동
단국대학교,충청남도 천안시 동남구 단대로 119,36.8359524852566,127.165213408735,신안동
상명대학교,충청남도 천안시 동남구 상명대길 31,36.8313071956562,127.180992915316,신안동
선문대학교,충청남도 천안시 동남구 천안대로 277,36.7747935132111,127.163541864631,청룡동
순천향대학교,충청남도 천안시 동남구 순천향6길 31,36.8028115585226,127.136781488139,봉명동
나사렛대학교,충청남도 천안시 서북구 월봉로 48,36.7983475274385,127.119477919956,쌍용2동
남서울대학교,충청남도 천안시 서북구 성환읍 대학로 91,36.9109137342107,127.143619452225,성환읍
백석대학교,충청남도 천안시 동남구 백석대학로 1,36.8388372068096,127.182520646399,신안동
한국기술교육대학교,충청남도 천안시 동남구 병천면 충절로 1600,36.765104950533,127.281200389603,병천면
호서대학교,충청남도 천안시 동남구 호서대길 12,36.8272281609711,127.18374983888,신안동
