주소,pm가중치,traffic가중치,num가중치,가중치,표준화된가중치
백석동,1.5,2.0,1.4914518066722113,4.474355420016634,0.6903562467983257
청룡동,1.6111111111111112,1.9277040164106571,1.755198225672304,5.451198744863079,0.884776148631095
부성1동,1.8055555555555556,1.669882000416237,1.9893263099528693,5.997947579622462,0.9935948835063215
부성2동,1.8055555555555556,1.669882000416237,2.0,6.030129445947522,1.0
신안동,1.6111111111111112,1.6573809764067335,1.642962757600961,4.387080075688047,0.6729859444732806
신방동,1.4166666666666667,1.551243017472105,1.5700951852878662,3.4504321900045296,0.4865660904858606
불당1동,2.0,1.5338718651178436,1.4811939746788652,4.5439235290839655,0.7042023002969133
불당2동,1.3888888888888888,1.5338718651178436,1.5057758063025597,3.2078710339758776,0.43828944781038687
성정2동,1.5,1.3456686459266602,1.5237501155161262,3.0756941320157662,0.4119824447833826
성정1동,1.1388888888888888,1.3456686459266602,1.2247481748452085,1.8770087205513641,0.173409590675058
쌍용3동,1.1666666666666665,1.3039632201381997,1.2109324461694853,1.842179933856487,0.16647766093981936
쌍용1동,1.1944444444444444,1.3039632201381997,1.1719804084650216,1.8253731093477799,0.16313261973618814
쌍용2동,1.4722222222222223,1.3039632201381997,1.4862766842251178,2.8532404709016967,0.3677077716028742
원성2동,1.0,1.1309093499911367,1.0821550688476111,1.2238192855000656,0.04340611661657667
원성1동,1.0555555555555556,1.1309093499911367,1.071342759449219,1.2789021850234508,0.05436919702630799
중앙동,1.0833333333333333,1.088677137459681,1.0360872377783938,1.2219615288650139,0.04303636964341423
성거읍,1.0,1.0704779288756834,1.2325108585158489,1.3193756711408362,0.062424584208289224
성환읍,1.1111111111111112,1.0432347836777567,1.1994732464652065,1.390369125337096,0.07655432236028586
목천읍,1.0,1.0375539952458745,1.217077904075409,1.2627840418989158,0.051161223214856444
봉명동,1.1666666666666665,1.025211276121752,1.2123186396820995,1.4500298629304502,0.0884285241397717
신부동,1.0,1.012037970396099,1.0,1.012037970396099,0.001255547077699648
입장면,1.0,1.0,1.05600221790962,1.05600221790962,0.010005696122403346
직산읍,1.0,1.0,1.2261343683578227,1.2261343683578227,0.04386688465428695
풍세면,1.0,1.0,1.100175584511598,1.100175584511598,0.018797465877015224
광덕면,1.0,1.0,1.0164494963496904,1.0164494963496904,0.0021335675555124722
북면,1.0,1.0,1.018528786618612,1.018528786618612,0.0025474060899868534
성남면,1.0,1.0,1.0081323352740041,1.0081323352740041,0.0004782134176148367
수신면,1.0,1.0,1.0057295998521394,1.0057295998521394,0.0
병천면,1.0,1.0,1.051058127714629,1.051058127714629,0.009021680051542025
북면,1.0,1.0,1.018528786618612,1.018528786618612,0.0025474060899868534
문성동,1.0277777777777777,1.0,1.1094168745956936,1.1402340100011294,0.026770244062784443
