,Title,Address,Longitude,Latitude,법정동
0,카페이숲,충남 천안시 서북구 성거읍 남창마을1길 32 1층,127.195422089559,36.8621845707834,성거읍
1,블렌데렌,"충남 천안시 동남구 먹거리8길 5 1, 2층",,,
2,그리고스페셜티,충남 천안시 동남구 유량로 104,127.17275432485,36.807127926227,원성1동
3,오월의숲,충남 천안시 서북구 세관길 78,127.145207822583,36.8231951303891,성정2동
4,유얼스,충남 천안시 서북구 불당31길 37,127.105355091455,36.8102154509266,불당2동
5,풍세커피,충남 천안시 동남구 풍세면 한우물2길 90 2동 1층,127.106483249053,36.7408749161959,풍세면
6,교토리,충남 천안시 동남구 북면 위례성로 782,127.271451672628,36.8318025340276,북면
7,피노카페,충남 천안시 동남구 풍세면 휴양림길 99-23,127.092564523484,36.7290214781675,풍세면
8,마리스,충남 천안시 동남구 천호지길 11,127.172957334791,36.8343524613629,신안동
9,마젠타,충남 천안시 서북구 성성2길 81 1동 2~4층,127.129597036195,36.8464929942334,부성2동
10,에이게이트,충남 천안시 동남구 목천읍 동리2길 183 1~4층,,,
11,베이커리머그카페,충남 천안시 동남구 화령길 4-11 1동 1~2층,127.166352419541,36.810334012706,원성1동
12,랜드마크 195,충남 천안시 동남구 유량로 195,127.17987083869,36.813068396526,원성1동
13,도시커피,충남 천안시 동남구 통정10로 7-1,127.129238233659,36.775007026005,신방동
14,숲속의문,충남 천안시 동남구 양지말2길 61 1층,127.186067878287,36.8122211905073,원성1동
15,그레이츄,충남 천안시 서북구 오성7길 42,127.132560791332,36.8321914246797,부성2동
16,핀스커피,충남 천안시 동남구 해솔1길 27-29,127.177249597926,36.7905492356368,청룡동
17,알롱지,충남 천안시 동남구 풍세면 용두2길 39-1 1~2층,127.124080531202,36.7444478456177,풍세면
18,투닷츠,충남 천안시 서북구 불당30길 7-7 1층,127.10384004736,36.8103723151719,불당2동
19,코끼리공장,충남 천안시 동남구 목천읍 동평1길 1-8 1층,127.231999777923,36.7706221695021,목천읍
20,동민목장,충남 천안시 서북구 성환읍 왕림길 154,127.109785938072,36.9190601213287,성환읍
21,키키키린카페,충남 천안시 동남구 천안천9길 50 1층,127.156749156957,36.8212067785402,신안동
22,타마르카페,충남 천안시 동남구 공고담길 43-6 1층,127.157398244097,36.816616663307,신안동
23,카페앙프,충남 천안시 동남구 천안천변길 139,127.125176139664,36.7824016873357,신방동
24,카페목천,충남 천안시 동남구 목천읍 충절로 986-37 1층,127.221925924775,36.7740465209187,목천읍
25,루가밀팩토리,충남 천안시 동남구 천안천9길 20 1층,127.153810582437,36.8195328414064,신안동
