도로명,구간명,교통량(대),주소1,주소2
광장로,동극섬유 -> 이마트앞교차로서측,8073.666667,불당동,불당동
광장로,배방1교차로 -> 이마트앞교차로서측,8131.25,불당동,불당동
광장로,이마트앞교차로서측 -> 동극섬유,12751.08333,불당동,불당동
광장로,이마트앞교차로서측 -> 배방1교차로,8381.25,불당동,불당동
남부대로,새말사거리 -> 신방삼거리,17224.41667,신방동,신방동
남부대로,새말사거리 -> 청룡지하차도,26565.66667,신방동,청룡동
남부대로,신방삼거리 -> 새말사거리,19279,신방동,신방동
남부대로,신방삼거리 -> 장재2교차로,20477.5,신방동,불당동
남부대로,청룡지하차도 -> 새말사거리,32552.16667,청룡동,신방동
남부대로,청삼교차로 -> 청룡지하차도,16817.41667,청룡동,청룡동
대흥로,방죽안오거리 -> 천안역앞교차로,4554.083333,신안동,중앙동
대흥로,천안역앞교차로 -> 방죽안오거리,6343.25,중앙동,신부동
동서대로,동서고가교동측 -> 동서고가교서측,15122.33333,신안동,신안동
동서대로,동서고가교서측 -> 동서고가교동측,17097.5,신안동,신안동
동서대로,서부대로사거리 -> 시민문화여성회관사거리,11336.08333,부성동,성정동
동서대로,서부대로사거리 -> 은총교,21535.83333,부성동,백석동
동서대로,시민문화여성회관사거리 -> 서부대로사거리,12022.33333,성정동,부성동
동서대로,시민문화여성회관사거리 -> 인쇄창사거리,27349.5,성정동,부성동
동서대로,은총교 -> 서부대로사거리,21162.41667,백석동,부성동
동서대로,인쇄창사거리 -> 시민문화여성회관사거리,34683.58333,성정동,성정동
두정로,대우1차아파트107동 -> 대전충남양돈농협신두정지점,4803.416667,부성동,부성동
두정로,대우1차아파트107동 -> 두정역삼거리,555.0833333,부성동,부성동
두정로,대전충남양돈농협신두정지점 -> 대우1차아파트107동,3757.833333,부성동,부성동
두정로,대전충남양돈농협신두정지점 -> 카페베네천안두정점,4923.833333,부성동,부성동
두정로,두정역삼거리 -> 대우1차아파트107동,585.8333333,부성동,부성동
두정로,성성고가차도 -> 카페베네천안두정점,0,부성동,부성동
두정로,카페베네천안두정점 -> 대전충남양돈농협신두정지점,3662.583333,부성동,부성동
두정로,카페베네천안두정점 -> 성성고가차도,0,부성동,부상동
만남로,방죽안오거리 -> 터미널사거리,7322.333333,신안동,신안동
만남로,천안로사거리 -> 천안IC앞,6961.916667,신안동,신안동
만남로,천안로사거리 -> 터미널사거리,8686.583333,신안동,신안동
만남로,터미널사거리 -> 방죽안오거리,10139.16667,신안동,신안동
만남로,터미널사거리 -> 천안로사거리,9106.666667,신안동,신안동
망향로,석문교차로 -> 입장교차로,0,성거읍 ,입장면
망향로,석문교차로 -> 천안IC앞,16667.58333,성거읍 ,신안동
망향로,입장교차로 -> 석문교차로,0,입장면 ,성거읍
망향로,천안IC앞 -> 석문교차로,20469.83333,신안동,성거읍
망향로,천안IC앞 -> 천안로사거리,0,신안동,신부동
백석로,KB국민은행천안백석종합금융센터 -> 백석요양원,19676.83333,백석동,백석동
백석로,KB국민은행천안백석종합금융센터 -> 운동장사거리,21903.75,백석동,백석동
백석로,구상골사거리 -> 백석사거리,5665.75,성정동,성정동
백석로,구상골사거리 -> 봉정사거리,6514.083333,성정동,성정동
백석로,방죽안오거리 -> 봉정사거리,8737.166667,신안동,성정동
백석로,백석사거리 -> 구상골사거리,5134.75,성정동,성정동
백석로,백석사거리 -> 백석요양원,12772,성정동,백석동
백석로,백석요양원 -> KB국민은행천안백석종합금융센터,20208.33333,백석동,백석동
백석로,백석요양원 -> 백석사거리,17517.33333,백석동,성정동
백석로,봉정사거리 -> 구상골사거리,6615,성정동,성정동
백석로,봉정사거리 -> 방죽안오거리,11357.66667,성정동,신안동
백석로,운동장사거리 -> KB국민은행천안백석종합금융센터,18692.33333,백석동,백석동
버들로,교보사거리 -> 버들육거리,0,원성동,중앙동
버들로,버들육거리 -> 교보사거리,0,중앙동,원성동
버들로,버들육거리 -> 천안역앞교차로,0,중앙동,중앙동
버들로,천안역앞교차로 -> 버들육거리,0,중앙동,중앙동 
번영로,고속철도사거리 -> 불당아이파크아파트,22193.83333,청룡동,불당동
번영로,불당아이파크아파트 -> 고속철도사거리,16408.25,불당동,청룡동
번영로,불당아이파크아파트 -> 시청앞사거리,43627.75,불당동,불당동
번영로,불당행복주유소 -> 시청앞사거리,7936.833333,불당동,불당동
번영로,성성2교차로 -> 성성고가차도,8980.5,부성동,부성동
번영로,성성2교차로 -> 업성동삼거리,11943,부성동,부성동
