연번,주차장 위치,주차장 주소,법정동,설치일자,데이터기준일자
1,한양수자인 하늘약국 앞 ,천안시 동남구 청당동 951,청당동 ,2021년,2024-05-29
2,청수 한양수자인 베스킨라빈스 앞 ,천안시 동남구 청당동 951,청당동 ,2021년,2024-05-29
3,신방한라비발디 후문 정류장 ,천안시 동남구 신방동 1891,신방동 ,2021년,2024-05-29
4,신방우체국 중앙공원 ,천안시 동남구 신방동 1894,신방동 ,2021년,2024-05-29
5,통정 상쾌한 내과 앞 ,천안시 동남구 청당동 396-10,청당동 ,2021년,2024-05-29
6,세광 파리바게뜨 맞은편 ,천안시 동남구 용곡동 571,용곡동 ,2021년,2024-05-29
7,신방도서관 현수막거치대 옆 ,천안시 동남구 신방동 1521,신방동 ,2021년,2024-05-29
8,마블러스 옆 보행자도로,천안시 서북구 불당동 1882,불당동 ,2021년,2024-05-29
9,서울대정병원 옆 보행자도로 ,천안시 서북구 불당동 1882,불당동 ,2021년,2024-05-29
10,물총새공원 거치대 ,천안시 서북구 불당동 1642,불당동 ,2021년,2024-05-29
11,호반3차 센터시티 동남쪽 ,천안시 서북구 불당동 1446,불당동 ,2021년,2024-05-29
12,불당행정복지센터,천안시 서북구 불당동 786,불당동 ,2021년,2024-05-29
13,불당 동일하이빌 정문 앞,천안시 서북구 불당동 745,불당동 ,2021년,2024-05-29
14,아리스타팰리스 ,천안시 서북구 불당동 1484,불당동 ,2021년,2024-05-29
15,불당24로 자전거거치대 ,천안시 서북구 불당동 1497,불당동 ,2021년,2024-05-29
16,불무중학교 앞 공원 거치대 ,천안시 서북구 불당동 1877,불당동 ,2021년,2024-05-29
17,신불당 스타벅스 앞,천안시 서북구 불당동 1618,불당동 ,2021년,2024-05-29
18,신불당 서브웨이 앞,천안시 서북구 불당동 1883,불당동 ,2021년,2024-05-29
19,백석프라자 앞 ,천안시 서북구 백석동 361-18,백석동 ,2021년,2024-05-29
20,브라운스톤 정문 옆 ,천안시 서북구 백석동 930,백석동 ,2021년,2024-05-29
21,성성육교 하부 ,천안시 서북구 성성동 194-36,성성동 ,2021년,2024-05-29
22,벽산블루밍 육교 하부 ,천안시 서북구 백석동 658-77,백석동 ,2021년,2024-05-29
23,백석 호반 사거리 ,천안시 서북구 백석동 907,백석동 ,2021년,2024-05-29
24,쌍용도서관 삼거리 ,천안시 서북구 불당동 791,불당동 ,2021년,2024-05-29
25,나사렛 미니스톱 근처 ,천안시 서북구 쌍용동 786,쌍용동 ,2021년,2024-05-29
26,쌍용 수산시장 앞 ,천안시 서북구 쌍용동 1591,쌍용동 ,2021년,2024-05-29
27,불당대로 정관장 앞 ,천안시 서북구 쌍용동 1383,쌍용동 ,2021년,2024-05-29
28,쌍용도서관 맞은편 ,천안시 서북구 쌍용동 1899,쌍용동 ,2021년,2024-05-29
29,쌍용동 하나은행 지하보도 사이 ,천안시 서북구 쌍용동 2034,쌍용동 ,2021년,2024-05-29
30,벽산태영 정문 근처 ,천안시 서북구 쌍용동 1538,쌍용동 ,2021년,2024-05-29
31,불당 한성아파트 정류장 뒤편 ,천안시 서북구 불당동 790,불당동 ,2021년,2024-05-29
32,충청약국 앞 보도,천안시 동남구 신방동47,신방동,2022년,2024-05-29
33,MG새마을금고 앞 보도    ,천안시 동남구 신방동875,신방동,2022년,2024-05-29
34,육풍 앞 보도(동아태조아파트),천안시 동남구 신부동319-20,신부동,2022년,2024-05-29
35,탑 라운드 앞 보도(터미널사거리),천안시 동남구 신부동 468-1,신부동 ,2022년,2024-05-29
36,경복궁 불고기 앞 보도(방죽안 오거리),천안시 동남구 신부동 401-238,신부동 ,2022년,2024-05-29
37,방죽안 오거리 게시판 앞 보도,천안시 동남구 신부동 401-221,신부동 ,2022년,2024-05-29
38,제주뜰갈치 앞 보도,천안시 동남구 봉명동 504,봉명동 ,2022년,2024-05-29
39,새마을 텔레콤 앞 보도,천안시 동남구 봉명동 500,봉명동 ,2022년,2024-05-29
40,청수한양수자인아파트 앞 보도,천안시 동남구 청당동 461,청당동 ,2022년,2024-05-29
41,국민연금공단,천안시 동남구 청당동 958,청당동 ,2022년,2024-05-29
42,스타벅스(청수동) 앞 보도,천안시 동남구 청당동 958,청당동 ,2022년,2024-05-29
43,우리은행 옆 보도 ,천안시 동남구 청당동 951,청당동 ,2022년,2024-05-29
44,삼거리청수호수공원 건너편,천안시 동남구 청수동 425,청수동 ,2022년,2024-05-29
45,농가마트 앞 보도,천안시 동남구 청수동 202-9,청수동 ,2022년,2024-05-29
46,두정역 사거리 앞 보도,천안시 서북구 두정동 389-42,두정동 ,2022년,2024-05-29
47,두정역 버스정류장,"천안시 서북구 두정동 71-1,2",두정동 ,2022년,2024-05-29
48,CU편의점 앞 보도,천안시 서북구 두정동 1763,두정동 ,2022년,2024-05-29
49,스타펠리스 아파트 건너편 KT 앞 보도,천안시 서북구 두정동 1810,두정동 ,2022년,2024-05-29
50,두정역 펜타폴리스2차 앞 보도,천안시 서북구 두정동 1810,두정동 ,2022년,2024-05-29
51,현대자동차 앞 보도,천안시 서북구 두정동 1810,두정동 ,2022년,2024-05-29
52,다비치안경(두정) 앞 보도,천안시 서북구 두정동 1800,두정동 ,2022년,2024-05-29
53,로이드 앞 보도,천안시 서북구 두정동 1791,두정동 ,2022년,2024-05-29
54,GS편의점 앞 보도,천안시 서북구 두정동 1456,두정동 ,2022년,2024-05-29
55,대흥캐슬 앞 보도,천안시 서북구 두정동 1309,두정동 ,2022년,2024-05-29
56,농협 앞 보도 (화인메트로 병원 근처),천안시 서북구 두정동 1791,두정동 ,2022년,2024-05-29
57,두정도서관 보도,천안시 서북구 두정동 1791,두정동 ,2022년,2024-05-29
58, 헤어 보그 (두정도서관 사거리),천안시 서북구 두정동 2011,두정동 ,2022년,2024-05-29
59,말우물빌딩 앞 보도,천안시 서북구 두정동 1764,두정동 ,2022년,2024-05-29
60,부성2동 행정복지센터 앞 보도,천안시 서북구 두정동 1800,두정동 ,2022년,2024-05-29
61,통계청 앞 보도,천안시 서북구 두정동 839,두정동 ,2022년,2024-05-29
62,프라지움 6차 오피스텔 앞 보도,천안시 서북구 성정동 1270,성정동 ,2022년,2024-05-29
63,KT 앞 보도,천안시 서북구 두정동 802,두정동 ,2022년,2024-05-29
64,천안시 우체국 앞 보도,천안시 서북구 성정동 1537,성정동 ,2022년,2024-05-29
65,장호덕 손만두 옆 보도 (극동아파트 사거리),천안시 서북구 성정동 1124,성정동 ,2022년,2024-05-29
66,프라지움 7차 아파트 앞 보도,천안시 서북구 성정동 1345,성정동 ,2022년,2024-05-29
67,올리브영 앞 보도,천안시 서북구 성정동 1549,성정동 ,2022년,2024-05-29
68,프라지움 5차 아파트 앞 보도,천안시 서북구 성정동 1317,성정동 ,2022년,2024-05-29
69,프라지움 8차 아파트 앞 보도,천안시 서북구 성정동 1323,성정동 ,2022년,2024-05-29
70,천안축산농협 옆 보도,천안시 서북구 두정동 1776,두정동 ,2022년,2024-05-29
71,삼성디스플레이 앞 보도,천안시 서북구 성성동515,성성동,2022년,2024-05-29
72,천안시티자이아파트 앞 보도 (성성2교차로),천안시 서북구 성성동890,성성동,2022년,2024-05-29
73,농협 앞 보도 (노태산로 사거리),천안시 서북구 두정동 1764,두정동 ,2022년,2024-05-29
74,두정푸르지오5차(502동 앞)(노태산로 사거리),천안시 서북구 두정동 2011,두정동 ,2022년,2024-05-29
75,불당아이파크 앞 보도,천안시 서북구 불당동 740,불당동 ,2022년,2024-05-29
76,카페거리 앞 보도 (갤러리아 백화점 건너편),천안시 서북구 불당동 1446,불당동 ,2022년,2024-05-29
77,가야 귀금속 앞 보도,천안시 서북구 불당동 1269,불당동 ,2022년,2024-05-29
78,월봉중학교 쪽 앞 보도(사거리),천안시 서북구 불당동 1446,불당동 ,2022년,2024-05-29
79,한성아파트 앞 보도,천안시 서북구 불당동 795,불당동 ,2022년,2024-05-29
80,우인 LED 조명 앞 보도,천안시 서북구 쌍용동 1268,쌍용동 ,2022년,2024-05-29
81,스타벅스(쌍용동) 앞 보도,천안시 서북구 쌍용동 254-4,쌍용동 ,2022년,2024-05-29
82,타올랜드 앞 보도,천안시 서북구 쌍용동 203-29,쌍용동 ,2022년,2024-05-29
83,LG유플러스 앞,천안시 서북구 쌍용동 175,쌍용동 ,2022년,2024-05-29
84, 다비치안경 앞 보도,천안시 서북구 쌍용동 393-4,쌍용동 ,2022년,2024-05-29
85,MG새마을금고 보도,천안시 서북구 쌍용동 1545,쌍용동 ,2022년,2024-05-29
86,맘마마트 앞 보도,천안시 서북구 쌍용동 1366,쌍용동 ,2022년,2024-05-29
87,용암사거리 지하차도 제2지대 쌍용자율방범대,천안시 서북구 쌍용동 1899,쌍용동 ,2022년,2024-05-29
88,농산물 유통센터 앞 보도,천안시 서북구 성정동 748,성정동 ,2022년,2024-05-29
89, TG패션 앞 보도(구상골사러리),천안시 서북구 성정동 1105,성정동 ,2022년,2024-05-29
90,시루향기 앞 보도,천안시 서북구 성정동 721-1,성정동 ,2022년,2024-05-29
91,FOUNDYARD 커피숍 옆 보도,천안시 서북구 불당동 1880,불당동 ,2022년,2024-05-29
92,불당상업지구 GS25 앞 보도,천안시 서북구 불당동 722,불당동 ,2022년,2024-05-29
93,두정역푸르지오 공원 앞 보도,천안시 서북구 두정동 2042,두정동 ,2022년,2024-05-29
94,성환역 앞 보도,천안시 서북구 성환리 449-1027,성환읍,2022년,2024-05-29
95,성환읍 행정복지센터 뒤 보도,천안시 서북구 성환리 274-1,성환읍,2022년,2024-05-29
96,성환 시외버스터미널 주차장,천안시 서북구 성환리 372-4,성환읍,2022년,2024-05-29
97,남서울대 정문,천안시 서북구 성월리 58,성환읍,2022년,2024-05-29
98,남서울대 쪽문 옆 공터,천안시 서북구 성월리 59-2,성환읍,2022년,2024-05-29
99,힐스테이트 천안 지하상가입구 뒷편,천안시 동남구 문화동 63-21,문화동,2023년,2024-05-29
100,대우5차아파트 버스정류장 인근,천안시 동남구 봉명동 224,봉명동,2023년,2024-05-29
101,카페라떼르 인근,천안시 동남구 봉명동 131-26,봉명동,2023년,2024-05-29
102,맘스터치 인근,천안시 동남구 신방동 916,신방동,2023년,2024-05-29
103,신부동 육교 인근,천안시 동남구 신부동 431,신부동,2023년,2024-05-29
104,문암로 버스정류장 부근(봉구스 밥버거 맞은편),천안시 동남구 안서동 382,안서동,2023년,2024-05-29
105,백석대학교 정문 버스정류장,천안시 동남구 안서동 526-92,안서동,2023년,2024-05-29
106,"각원사길 버스정류장 근처, GS25 앞",천안시 동남구 안서동 233-4,안서동,2023년,2024-05-29
107,호서대 버스정류장 인근,천안시 동남구 안서동 534-171,안서동,2023년,2024-05-29
108,백석대 할매순대국 앞,천안시 동남구 안서동 368-18,안서동,2023년,2024-05-29
109,백석대 천원국수 앞,천안시 동남구 안서동 382-2,안서동,2023년,2024-05-29
110,정관장 앞,천안시 동남구 신방동 924,신방동,2023년,2024-05-29
111,매일건강원 앞,천안시 동남구 신방동 8-9,신방동,2023년,2024-05-29
112,두레현대아파트 입구,천안시 동남구 신방동 899,신방동,2023년,2024-05-29
113,향촌현대아파트 입구,천안시 동남구 신방동 907,신방동,2023년,2024-05-29
114,향촌현대아파트 입구2,천안시 동남구 신방동 907,신방동,2023년,2024-05-29
115,두정역마을 두정공원 앞,천안시 서북구 두정동 406,두정동,2023년,2024-05-29
116,두정중학교 버스정류장 인근,천안시 서북구 두정동 1801,두정동,2023년,2024-05-29
117,경남아너스빌 입구,천안시 서북구 두정동 1801,두정동,2023년,2024-05-29
118,두정 푸르지오 입구,천안시 서북구 두정동 2010,두정동,2023년,2024-05-29
119,두정대림2차아파트 버스정류장 인근,천안시 서북구 두정동 2053,두정동,2023년,2024-05-29
120,천안시 장애인복지관 버스정류장 인근,천안시 서북구 두정동 1842,두정동,2023년,2024-05-29
121,백석11단지 버스정류장 인근,천안시 서북구 백석동 908,백석동,2023년,2024-05-29
122,백석3로 시청로 사거리,천안시 서북구 백석동 912,백석동,2023년,2024-05-29
123,천안종합운동장 테니스장 인근,천안시 서북구 백석동 274-3,백석동,2023년,2024-05-29
124,천안종합운동장 테니스장 인근2,천안시 서북구 백석동 251,백석동,2023년,2024-05-29
125,브라운스톤 아파트 버스정류장 인근,천안시 서북구 백석동 729,백석동,2023년,2024-05-29
